"filename", "language", "JSON", "Rust", "Groovy", "Java Properties", "Batch", "XML", "TOML", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\js\dataSelector.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 11, 38
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\js\resultNavigation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 2, 20, 76
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\js\utils\formatNumber.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\js\widgetHandler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\js\widgets\Analyze\visualizeOptions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 10, 47
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\js\widgets\Data\matchDisplay.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 6, 34
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\js\widgets\Data\teamDisplayEditedCopy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 4, 10, 93
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\js\widgets\Match\matchOverviewDisplay.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 3, 12, 82
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\svg\cone.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\svg\cube.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 7, 16
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\assets\tauri.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 1, 15, 197
"Total", "-", 795, 284, 1, 9, 68, 289, 3628, 181, 302, 691, 2, 128, 712, 7090
